iter	Passed	Remaining
0	101	101009
1	115	57536
2	130	43206
3	143	35818
4	160	31859
5	174	28876
6	188	26740
7	202	25139
8	216	23891
9	231	22906
10	245	22083
11	259	21375
12	273	20742
13	286	20201
14	301	19826
15	315	19422
16	329	19079
17	343	18752
18	358	18487
19	372	18275
20	387	18042
21	401	17839
22	415	17668
23	430	17525
24	445	17366
25	459	17196
26	473	17055
27	487	16937
28	502	16814
29	516	16711
30	532	16632
31	549	16636
32	566	16604
33	583	16569
34	598	16506
35	614	16442
36	628	16366
37	644	16317
38	660	16266
39	675	16223
40	691	16179
41	706	16125
42	722	16085
43	738	16045
44	754	16014
45	770	15980
46	787	15964
47	803	15927
48	818	15886
49	833	15845
50	850	15818
51	865	15787
52	881	15755
53	897	15726
54	913	15692
55	929	15665
56	944	15622
57	959	15580
58	974	15545
59	990	15516
60	1005	15480
61	1021	15452
62	1037	15425
63	1052	15398
64	1068	15367
65	1083	15338
66	1099	15311
67	1114	15276
68	1129	15243
69	1145	15223
70	1162	15211
71	1179	15203
72	1195	15177
73	1212	15177
74	1234	15228
75	1261	15342
76	1285	15413
77	1313	15520
78	1336	15579
79	1354	15573
80	1371	15560
81	1389	15550
82	1406	15538
83	1432	15617
84	1449	15608
85	1468	15605
86	1486	15595
87	1505	15600
88	1525	15612
89	1541	15587
90	1557	15556
91	1572	15521
92	1588	15491
93	1604	15461
94	1620	15441
95	1637	15415
96	1653	15392
97	1670	15371
98	1685	15336
99	1699	15299
100	1716	15274
101	1732	15252
102	1748	15227
103	1765	15206
104	1782	15193
105	1800	15184
106	1818	15176
107	1838	15183
108	1859	15198
109	1877	15192
110	1897	15200
111	1917	15201
112	1935	15194
113	1955	15196
114	1973	15184
115	1992	15184
116	2012	15184
117	2032	15191
118	2051	15189
119	2069	15178
120	2088	15169
121	2107	15168
122	2127	15168
123	2148	15176
124	2164	15153
125	2181	15131
126	2197	15106
127	2213	15078
128	2229	15050
129	2245	15024
130	2260	14998
131	2276	14968
132	2291	14936
133	2306	14907
134	2321	14875
135	2336	14845
136	2351	14813
137	2366	14783
138	2382	14756
139	2397	14727
140	2413	14703
141	2430	14684
142	2445	14657
143	2461	14632
144	2476	14602
145	2492	14577
146	2507	14550
147	2523	14525
148	2539	14506
149	2555	14479
150	2570	14451
151	2585	14425
152	2601	14400
153	2617	14380
154	2633	14354
155	2648	14331
156	2663	14303
157	2679	14276
158	2695	14256
159	2710	14231
160	2725	14204
161	2741	14179
162	2756	14154
163	2772	14132
164	2788	14109
165	2803	14084
166	2819	14061
167	2834	14038
168	2851	14019
