case_idx,data_sourc,case_lat,case_lon,case_date,COMMODITY_,INTENTIONA,UNINTENTIO,FATAL,INJURE,ON_OFF_SHO,IGNITE_IND,EXPLODE_IN,NUM_PUB_EV,FEDERAL,LOCATION_T,CROSSING,ITEM_INVOL,MATERIAL_I,EST_COST_O,EST_COST_G,EST_COST_P,EST_COST_E,EST_COST_1,EST_COST_2,CAUSE,CAUSE_DETA,NARRATIVE,SYSTEM_PAR,INCIDENT_A,PIPE_FACIL,INSTALLATI,RELEASE_TY,COULD_BE_H,MOP_PSIG,PIPELINE_F,SCADA_IN_P,INVESTIGAT,EMPLOYEE_D,CONTRACTOR,zone,TAVG_x,accident_p,station_id,YYYY-mm_x,YYYY-mm_prev,TAVG_y,YYYY-mm_y,TAVG
0,gravity,33.1987969,-93.4203174,2022/12/31,CRUDE OIL,,65.0,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,100000.0,320.0,12000.0,250000.0,750000.0,0.0,CORROSION FAILURE,EXTERNAL CORROSION,THE RELEASE OCCURRED NEAR A NORMALLY DRY DRAINAGE DITCH THAT ONLY FLOWS DURING HEAVY RAINY CONDITIONS. IT WAS IDENTIFIED BY THE LAND OWNER WHO NOTIFIED THE OPERATOR.  THE REPAIRS HAVE BEEN MADE AND CLEANED UP. THE CAUSE OF THE LEAK IS BELIEVED TO HAVE BE,,,,,,,,,,,,,Hot-Humid,,,GHCND:USC00033428,2022-12,2022-11,8.43,2022-11,10.49
12,gravity,32.37618,-101.67903,2022/11/12,CRUDE OIL,,0.48,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,PIPE,CARBON STEEL,0.0,43.0,38.0,852.0,0.0,0.0,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,"A THIRD-PARTY PUMPER NOTIFIED NUSTAR OF A POTENTIAL CRUDE OIL RELEASE AT NUSTAR'S DIA LILLY FACILITY.  NUSTAR'S CONTROL ROOM SHUTDOWN THE PIPELINE, AND OPERATIONS PERSONNEL WERE DISPATCHED TO THE SITE.  THE LEAK ORIGINATED FROM A CRACK ON A 1/4-INCH THRE",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-11,2022-10,9.85,2022-10,17.82
19,gravity,32.139039,-103.358115,2022/10/16,CRUDE OIL,,21.1,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,5000.0,1680.0,10000.0,35000.0,0.0,0.0,CORROSION FAILURE,INTERNAL CORROSION,APPROXIMATELY 21.1 BARRELS OF CRUDE OIL WERE RELEASED FROM THE MONTERA 6INCH PIPELINE.  THE DATE AND TIME OF THE RELEASE IS INDICATIVE OF THE EARLIEST POSSIBLE TIME THE RELEASE COULD HAVE STARTED BASED ON THE LAST TIME THE INCIDENT LOCATION HAD BEEN VISI,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00003047,2022-10,2022-09,18.25,2022-09,24.73
23,gravity,31.728878,-102.334542,2022/09/26,CRUDE OIL,,4.5,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,348.0,500.0,2200.0,0.0,0.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"ON 9/26/2022 AT 7:30 CST, ENTERPRISE PIPELINE TECHNICIAN DISCOVERED A CRUDE LEAK ON THE GROUND FROM PROVER CONNECTION VALVE IN DARK STAR PUMP STATION. 4.5 BARRELS OF OIL REACHED THE GROUND DUE TO PROVER VALVE FAILURE. ALL SOIL HAS BEEN REMEDIATED FROM TH",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-09,2022-08,24.48,2022-08,27.71
35,gravity,32.476951,-102.802173,2022/08/25,CRUDE OIL,,0.5,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,0.0,46.0,1900.0,3000.0,0.0,0.0,CORROSION FAILURE,EXTERNAL CORROSION,"ON AUGUST 25, 2022, A THIRD PARTY OPERATOR EMPLOYEE NOTIFIED CENTURION PIPELINE, L.P. (CPL) OF A POTENTIAL LEAK NEAR CPL'S ""SCARBROUGH 4"" RIGHT-OF-WAY NEAR ANDREWS, IN ANDREWS COUNTY, TEXAS. A CPL EMPLOYEE ARRIVED ON-SITE AT 09:30 AND CONFIRMED THE LEAK",,,,,,,,,,,,,Hot-Dry,,,GHCND:USC00417074,2022-08,2022-07,25.97,2022-07,28.75
38,gravity,32.2576,-101.61432,2022/08/19,CRUDE OIL,,3.4,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,127.0,11250.0,1284.0,0.0,6500.0,EQUIPMENT FAILURE,"FAILURE OF EQUIPMENT BODY (EXCEPT PUMP), TANK PLATE, OR OTHER MATERIAL",NUSTAR OPERATIONS PERSONNEL RECEIVED A NOTIFICATION FROM A THIRD-PARTY PUMPER OF A POSSIBLE LEAK AT ITS GUITAR EAST CDP SITE.  NUSTAR'S CONTROL ROOM SHUTDOWN THE PUMP AT THE CDP AND PERSONNEL WERE DISPATCHED TO THE SITE.  A LEAK WAS DISCOVERED AT A 90-DE,,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-08,2022-07,27.71,2022-07,30.65
39,gravity,28.05383,-99.65989,2022/08/19,CRUDE OIL,,3.0,0,0,ONSHORE,0,,0.0,0.0,PIPELINE RIGHT-OF-WAY,0.0,PIPE,CARBON STEEL,26000.0,266.0,13000.0,324.0,25000.0,0.0,CORROSION FAILURE,INTERNAL CORROSION,"ON AUGUST 19, 2022, AT APPROXIMATELY 10:11 AM, ENERGY TRANSFER OPERATIONS PERSONNEL IDENTIFIED A LEAK IN THE PIPELINE RIGHT-OF-WAY ON THE G9CDP 6- INCH CONDENSATE PIPELINE. THIS PIPELINE IS A REPORTING-ONLY LIQUID GATHERING PIPELINE IN A RURAL AREA LOCAT",,,,,,,,,,,,,Hot-Humid,,,GHCND:USC00411486,2022-08,2022-07,29.85,2022-07,31.92
41,gravity,31.723713,-102.307349,2022/08/16,CRUDE OIL,,0.2,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,17.0,0.0,0.0,1000.0,0.0,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,"ON 8/16/2022 AT 15:00 CST, AFTER MAINTENANCE ON A PUMP AT FIREBIRD COLLINGSWORTH STATION, DURING RETURN TO SERVICE OF THE PUMP, THE ENTERPRISE TECHNICIAN DETECTED CRUDE OIL SPRAYING FROM THE SEAL. CRUDE OIL WAS ESTIMATED AT 0.20 BARRELS RELEASED. AFTER I",,,,,,,,,,,,,Hot-Dry,,,GHCND:USW00023023,2022-08,2022-07,27.71,2022-07,30.65
43,gravity,37.79232,-98.13711,2022/08/10,CRUDE OIL,,1.5,0,0,ONSHORE,0,,0.0,0.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,CARBON STEEL,0.0,116.0,1914.0,1400.0,5000.0,0.0,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,"ON 8/10/2022 AT APPROXIMATELY 10:30, A PIPELINE TECH DISCOVERED CRUDE OIL COMING FROM THE SUMP. THE PIPELINE TECH IMMEDIATELY ISOLATED THE LINE. APPROXIMATELY 1.5 BARRELS OF CRUDE OIL WAS RELEASED TO STATION SOIL.     AN INVESTIGATION DETERMINED THE VALV",,,,,,,,,,,,,Mixed-Humid,,,GHCND:USC00143930,2022-08,2022-07,28.0,2022-07,28.86
44,gravity,47.29977,-103.79375,2022/08/07,CRUDE OIL,,1.0,0,0,ONSHORE,0,,0.0,1.0,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.0,OTHER,MATERIAL OTHER THAN CARBON STEEL,0.0,100.0,500.0,9090.0,0.0,1716.0,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,"AN OPERATOR EMPLOYEE ARRIVED ONSITE AT 11:05 ON AUGUST 7TH AS PART OF HIS NORMAL DUTIES, AND NOTICED THE RELEASE NEAR THE PUMP SITE.  THE PUMP WAS SHUT DOWN AND ISOLATED IMMEDIATELY.  AN EMERGENCY ONE-CALL WAS PLACED BY A THIRD PARTY CONTRACTOR (LOENBRO)",,,,,,,,,,,,,Cold,,,GHCND:USW00094080,2022-08,2022-07,22.35,2022-07,21.45
