case_idx,case_date,case_lat,case_lon,rlsd_type,station_id,station_la,station_lo,station_el,zones1_BA_Climate,zones2_BA_Climate,zones3_BA_Climate,zone
"5427",2019/12/06,26.2459503,-80.2533146,NATURAL GAS,GHCND:USW00012885,26.199050000000000,-80.177639999999997,3.500000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5965",2015/02/24,26.351202,-80.115319,NATURAL GAS,GHCND:USW00092805,26.246359999999999,-80.111050000000006,4.600000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"6799",2020/09/24,26.618578,-80.173433,NATURAL GAS,GHCND:USW00012844,26.685099999999998,-80.099180000000004,3.500000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"7768",2012/12/13,26.61975,-80.17349,NATURAL GAS,GHCND:USW00012844,26.685099999999998,-80.099180000000004,3.500000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5318",2020/12/18,26.54792,-80.04302,NATURAL GAS,GHCND:USW00012844,26.685099999999998,-80.099180000000004,3.500000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"6007",2014/11/03,26.710577,-80.042052,NATURAL GAS,GHCND:USW00012844,26.685099999999998,-80.099180000000004,3.500000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"6222",2012/08/28,26.76273,-80.05291,NATURAL GAS,GHCND:USW00012844,26.685099999999998,-80.099180000000004,3.500000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"1742",2018/07/23,25.805674,-80.305545,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GHCND:USW00012839,25.788049999999998,-80.316940000000002,1.400000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"5456",2019/10/03,25.8025931,-80.1265346,NATURAL GAS,GHCND:USW00092811,25.806300000000000,-80.133399999999995,2.400000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"6988",2019/03/21,25.666698,-80.318509,NATURAL GAS,GHCND:USC00085667,25.755299999999998,-80.383600000000001,4.300000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"5703",2017/09/12,26.382656,-80.077226,NATURAL GAS,GHCND:USW00092805,26.246359999999999,-80.111050000000006,4.600000000000000,,Hot-Humid,Hot-Humid,Hot-Humid
"5803",2016/09/15,26.325352,-81.762512,NATURAL GAS,GHCND:USW00012897,26.154979999999998,-81.775139999999993,2.000000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5749",2017/03/17,26.429885,-81.779997,NATURAL GAS,GHCND:USW00012894,26.538049999999998,-81.756739999999994,8.199999999999999,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"8090",2010/05/18,26.83874,-80.12707,NATURAL GAS,GHCND:USC00086764,26.826100000000000,-80.148799999999994,6.100000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5511",2019/05/18,26.5001998,-81.8541729,NATURAL GAS,GHCND:USW00012835,26.584949999999999,-81.861459999999994,3.800000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"6555",2022/09/17,27.49957225,-81.27785236,NATURAL GAS,GHCND:USC00082288,27.369700000000002,-81.513599999999997,25.899999999999999,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5945",2015/05/10,27.316655,-80.373502,NATURAL GAS,GHCND:USC00083209,27.427199999999999,-80.405299999999997,6.100000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5485",2019/07/24,27.3261803,-80.3242468,NATURAL GAS,GHCND:USC00083207,27.441900000000000,-80.350800000000007,7.600000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"7077",2018/08/07,27.63875339,-81.9583,,GHCND:USC00089401,27.547699999999999,-81.799400000000006,18.300000000000001,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"6779",2020/11/29,27.748333,-81.85,NATURAL GAS,GHCND:USC00080478,27.886080000000000,-81.832509999999999,33.799999999999997,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"7100",2018/05/26,27.74917668,-81.85019205,NATURAL GAS,GHCND:USC00080478,27.886080000000000,-81.832509999999999,33.799999999999997,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"7908",2011/10/20,27.9073,-81.8584,NATURAL GAS,GHCND:USC00080478,27.886080000000000,-81.832509999999999,33.799999999999997,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"3001",2015/07/12,28.0684416,-81.785888,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GHCND:USW00012876,28.061370000000000,-81.756839999999997,43.500000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
"5176",2022/10/11,28.06266,-81.78036,NATURAL GAS,GHCND:USW00012876,28.061370000000000,-81.756839999999997,43.500000000000000,Hot-Humid,Hot-Humid,Hot-Humid,Hot-Humid
