station_idx,station_id,station_name,station_lat,station_lon,station_el,elevationUnit,mindate,maxdate,datacoverage
99,GHCND:USC00010063,"ADDISON, AL US",34.21096,-87.17838,239.6,METERS,1938-03-01,2024-03-08,1.0
100,GHCND:USC00010160,"ALEXANDER CITY, AL US",32.935,-85.95556,201.2,METERS,1969-10-01,2024-03-13,1.0
101,GHCND:USC00010178,"ALICEVILLE, AL US",33.1272,-88.155,59.4,METERS,1934-03-01,2024-01-31,1.0
103,GHCND:USC00010260,"LEXINGTON, AL US",34.96285,-87.37195,231.6,METERS,2004-01-01,2024-03-13,1.0
105,GHCND:USC00010390,"ATHENS, AL US",34.7752,-86.9508,210.0,METERS,1941-05-01,2024-03-13,1.0
106,GHCND:USC00010402,"ATMORE, AL US",31.182,-87.439,91.4,METERS,1940-03-01,2024-03-12,1.0
107,GHCND:USC00010425,"AUBURN NUMBER 2, AL US",32.5992,-85.4653,166.1,METERS,1996-01-01,2024-03-12,1.0
108,GHCND:USC00010505,"BANKHEAD LOCK AND DAM, AL US",33.4527,-87.3572,85.3,METERS,1957-02-01,2024-03-13,1.0
109,GHCND:USC00010583,"BAY MINETTE, AL US",30.884,-87.7852,82.6,METERS,1913-11-01,2024-03-12,1.0
110,GHCND:USC00010655,"BELLE MINA 2 N, AL US",34.6891,-86.8819,183.8,METERS,1950-01-01,2024-03-08,1.0
111,GHCND:USC00010764,"BESSEMER 3 WSW, AL US",33.39372,-87.00672,132.6,METERS,1977-01-01,2024-03-13,1.0
112,GHCND:USC00010823,"BILLINGSLEY, AL US",32.6624,-86.7244,134.1,METERS,1938-12-01,2024-03-12,0.7721
113,GHCND:USC00011080,"BREWTON 3 ENE, AL US",31.1413,-87.0486,52.7,METERS,1977-01-01,2024-03-08,1.0
116,GHCND:USC00011288,"CALERA, AL US",33.0944,-86.7455,161.5,METERS,1900-09-01,2024-03-12,1.0
118,GHCND:USC00011490,"CENTRE, AL US",34.15012,-85.6848,184.1,METERS,2002-01-01,2024-03-13,1.0
120,GHCND:USC00011620,"CHILDERSBURG WATER PLANT, AL US",33.28152,-86.34307,126.8,METERS,1957-01-01,2024-03-13,1.0
121,GHCND:USC00011694,"CLANTON, AL US",32.81597,-86.60447,179.8,METERS,1893-02-01,2024-03-13,1.0
122,GHCND:USC00011725,"CLAYTON, AL US",31.8709,-85.4501,173.4,METERS,1928-01-01,2024-03-11,1.0
124,GHCND:USC00012096,"CULLMAN 1.5SE KRESS FARMS, AL US",34.20667,-86.79989,246.9,METERS,1994-12-01,2024-02-22,1.0
125,GHCND:USC00012172,"DAUPHIN ISLAND NUMBER 2, AL US",30.2505,-88.0775,2.4,METERS,1975-08-01,2024-02-29,1.0
126,GHCND:USC00012209,"DECATUR 4 SE, AL US",34.57556,-86.93389,167.6,METERS,1998-12-01,2024-03-13,1.0
127,GHCND:USC00012245,"DEMOPOLIS LOCK AND DAM, AL US",32.51936,-87.87945,30.5,METERS,1951-07-01,2024-03-13,1.0
128,GHCND:USC00012350,"DORA, AL US",33.74778,-87.05861,143.3,METERS,2005-10-01,2024-01-16,0.7937
129,GHCND:USC00012377,"DOTHAN, AL US",31.1941,-85.3708,83.8,METERS,2003-03-01,2024-03-09,1.0
134,GHCND:USC00012813,"FAIRHOPE 2 NE, AL US",30.5468,-87.8807,7.0,METERS,1917-08-01,2024-03-04,1.0
135,GHCND:USC00012883,"FAYETTE, AL US",33.67955,-87.82993,100.9,METERS,1892-03-01,2024-03-13,1.0
136,GHCND:USC00013043,"FORT PAYNE, AL US",34.4406,-85.7236,279.5,METERS,1935-07-01,2024-03-13,1.0
138,GHCND:USC00013154,"GADSDEN, AL US",34.0219,-85.9878,172.2,METERS,1953-03-01,2024-03-13,1.0
139,GHCND:USC00013160,"GAINESVILLE LOCK, AL US",32.8347,-88.1341,38.1,METERS,1948-06-01,2024-03-13,1.0
140,GHCND:USC00013251,"GENEVA NUMBER 2, AL US",31.0383,-85.8708,44.2,METERS,1976-05-01,2024-03-13,1.0
142,GHCND:USC00013511,"GREENSBORO, AL US",32.69212,-87.57603,75.9,METERS,1890-02-01,2024-03-13,1.0
143,GHCND:USC00013519,"GREENVILLE, AL US",31.7901,-86.6087,104.2,METERS,1900-01-01,2024-02-29,1.0
144,GHCND:USC00013573,"GUNTERSVILLE, AL US",34.3344,-86.3297,176.2,METERS,1904-01-01,2024-03-13,1.0
145,GHCND:USC00013575,"GUNTERSVILLE NUMBER 2, AL US",34.3347,-86.3294,181.4,METERS,1995-11-01,2024-03-13,1.0
146,GHCND:USC00013620,"HALEYVILLE, AL US",34.2314,-87.6352,280.4,METERS,1902-07-01,2024-03-13,1.0
147,GHCND:USC00013645,"HAMILTON, AL US",34.13884,-87.99466,149.4,METERS,1962-01-01,2024-03-13,1.0
148,GHCND:USC00013655,"HANCEVILLE, AL US",34.06081,-86.79056,179.8,METERS,1985-01-01,2024-02-29,1.0
149,GHCND:USC00013761,"HEADLAND, AL US",31.38307,-85.36779,103.9,METERS,1950-01-01,2024-03-13,1.0
150,GHCND:USC00013775,"HEFLIN, AL US",33.64347,-85.60944,307.8,METERS,1956-01-01,2024-03-13,1.0
156,GHCND:USC00014080,"HURTSBORO, AL US",32.24635,-85.41399,122.5,METERS,1978-01-01,2024-02-13,1.0
157,GHCND:USC00014193,"JACKSON, AL US",31.5253,-87.9277,67.1,METERS,1961-10-01,2024-03-13,1.0
158,GHCND:USC00014209,"JACKSONVILLE, AL US",33.82585,-85.78115,192.0,METERS,1948-07-01,2024-03-13,1.0
159,GHCND:USC00014226,"JASPER, AL US",33.9048,-87.3154,148.1,METERS,1960-01-01,2024-03-13,1.0
162,GHCND:USC00014502,"LAFAYETTE 2 W, AL US",32.9069,-85.4336,225.6,METERS,1944-10-01,2024-02-27,1.0
164,GHCND:USC00014977,"MADISON 2 N, AL US",34.72694,-86.74556,231.6,METERS,2007-11-14,2024-03-14,0.9402
165,GHCND:USC00015121,"MARION JUNCTION 2 NE, AL US",32.4718,-87.23097,68.3,METERS,1950-02-01,2024-03-05,1.0
167,GHCND:USC00015172,"MATHEWS, AL US",32.2603,-86.0003,57.9,METERS,1956-08-01,2024-02-04,0.7042
169,GHCND:USC00015397,"MIDWAY, AL US",32.03474,-85.47396,125.6,METERS,1940-04-01,2024-03-11,1.0
173,GHCND:USC00015537,"MONTEVALLO, AL US",33.098,-86.8658,125.0,METERS,1893-12-01,2024-01-31,1.0
174,GHCND:USC00015553,"MONTGOMERY 6 SW, AL US",32.26,-86.218,68.6,METERS,1998-01-01,2024-03-13,1.0
175,GHCND:USC00015635,"MOULTON 2, AL US",34.4884,-87.299,189.6,METERS,1957-01-01,2024-03-13,1.0
180,GHCND:USC00016121,"ONEONTA, AL US",33.92633,-86.42123,333.8,METERS,1894-08-01,2024-03-13,1.0
181,GHCND:USC00016129,"OPELIKA, AL US",32.65924,-85.44979,191.1,METERS,1957-01-01,2024-03-13,1.0
182,GHCND:USC00016196,"OWENS CROSS ROADS 3 S, AL US",34.5528,-86.445,179.8,METERS,2004-01-01,2024-03-13,1.0
185,GHCND:USC00017020,"ROCKFORD 3 ESE, AL US",32.8711,-86.1758,182.9,METERS,1954-07-01,2024-01-31,1.0
186,GHCND:USC00017025,"ROCK MILLS, AL US",33.15822,-85.29071,230.1,METERS,1938-06-01,2024-03-02,1.0
187,GHCND:USC00017131,"RUSSELLVILLE NUMBER 2, AL US",34.51,-87.7319,253.0,METERS,1953-09-01,2024-03-13,1.0
188,GHCND:USC00017157,"SAINT BERNARD, AL US",34.17444,-86.81056,238.7,METERS,1907-07-01,2024-02-05,1.0
189,GHCND:USC00017207,"SAND MOUNT SUBSTATION, AL US",34.2877,-85.968,362.7,METERS,1949-01-01,2023-08-28,1.0
190,GHCND:USC00017304,"SCOTTSBORO, AL US",34.6736,-86.0536,187.5,METERS,1891-10-01,2024-03-13,1.0
191,GHCND:USC00017366,"SELMA, AL US",32.411,-87.0144,44.8,METERS,1895-01-01,2024-03-13,1.0
193,GHCND:USC00017999,"SYLACAUGA 4 NE, AL US",33.20537,-86.19497,153.6,METERS,1950-03-01,2024-03-13,1.0
194,GHCND:USC00018024,"TALLADEGA, AL US",33.41729,-86.13432,154.8,METERS,1888-02-01,2024-03-08,1.0
196,GHCND:USC00018209,"THORSBY EXPERIMENTAL STATION, AL US",32.9205,-86.6708,207.3,METERS,1957-01-01,2024-03-04,1.0
197,GHCND:USC00018323,"TROY, AL US",31.8075,-85.9722,165.2,METERS,1908-06-01,2024-02-20,1.0
198,GHCND:USC00018380,"TUSCALOOSA ACFD, AL US",33.2231,-87.6099,50.3,METERS,1994-12-01,2024-03-13,1.0
199,GHCND:USC00018385,"TUSCALOOSA OLIVER DAM, AL US",33.2108,-87.59322,44.2,METERS,1900-01-01,2024-03-14,1.0
202,GHCND:USC00018469,"VALLEY HEAD, AL US",34.5686,-85.6063,341.7,METERS,1893-01-01,2023-12-31,1.0
203,GHCND:USC00018517,"VERNON, AL US",33.74175,-88.12505,90.5,METERS,1938-03-01,2024-03-13,1.0
204,GHCND:USC00018673,"WARRIOR LOCK AND DAM, AL US",32.77472,-87.83056,33.5,METERS,1958-02-01,2024-03-13,1.0
205,GHCND:USC00018812,"VINEMONT 2 NNW, AL US",34.25889,-86.89881,280.4,METERS,2007-01-01,2024-03-13,1.0
206,GHCND:USC00018859,"WETUMPKA, AL US",32.5937,-86.1664,97.2,METERS,1893-01-01,2024-03-09,1.0
207,GHCND:USC00018998,"WINFIELD 2 SW, AL US",33.9107,-87.8469,158.5,METERS,1923-04-01,2024-03-07,1.0
208,GHCND:USC00099291,"WEST POINT, GA US",32.8861,-85.1838,175.3,METERS,1891-10-01,2023-06-26,1.0
209,GHCND:USR0000ABAN,"BANKHEAD ALABAMA, AL US",34.14,-87.3622,245.1,METERS,1998-06-01,2024-02-06,0.9439
210,GHCND:USR0000ABNS,"BON SECOUR ALABAMA, AL US",30.2528,-87.8125,4.6,METERS,2002-06-01,2024-02-06,0.9939
211,GHCND:USR0000ALIR,"LIRI ALABAMA, AL US",34.4978,-85.6292,365.8,METERS,1997-01-01,2024-02-06,0.7672
212,GHCND:USR0000AOKM,"OAKMULGEE ALABAMA, AL US",32.9572,-87.1706,110.6,METERS,1998-06-01,2024-02-06,0.9252
213,GHCND:USR0000AOPE,"OPEN POND FTS ALABAMA, AL US",31.0944,-86.5486,83.8,METERS,1998-06-01,2024-02-06,0.9485
214,GHCND:USR0000ASHK,"SHOAL CREEK ALABAMA, AL US",33.6472,-85.6344,276.8,METERS,2002-12-01,2024-02-06,1.0
215,GHCND:USR0000ATAL,"TALLADEGA ALABAMA, AL US",33.4411,-86.0811,182.9,METERS,1998-06-01,2024-02-06,0.9999
216,GHCND:USW00003856,"HUNTSVILLE INTNL AIRPORT, AL US",34.64406,-86.78615,190.0,METERS,1958-01-01,2024-03-14,1.0
217,GHCND:USW00003878,"TROY MUNICIPAL AIRPORT, AL US",31.85742,-86.01025,118.6,METERS,1969-04-01,2024-03-13,1.0
221,GHCND:USW00013838,"MOBILE DOWNTOWN AIRPORT, AL US",30.61465,-88.06301,4.9,METERS,1948-03-01,2024-03-13,1.0
222,GHCND:USW00013839,"DOTHAN REGIONAL AIRPORT, AL US",31.31767,-85.44324,112.1,METERS,1970-01-01,2024-03-13,1.0
223,GHCND:USW00013871,"ANNISTON METROPOLITAN AIRPORT, AL US",33.59043,-85.84788,181.8,METERS,1903-02-01,2024-03-13,1.0
224,GHCND:USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56545,-86.7449,187.7,METERS,1930-01-01,2024-03-14,1.0
225,GHCND:USW00013894,"MOBILE REGIONAL AIRPORT, AL US",30.68819,-88.24598,65.5,METERS,1948-01-01,2024-03-14,1.0
226,GHCND:USW00013895,"MONTGOMERY AIRPORT, AL US",32.2997,-86.40745,66.2,METERS,1948-01-01,2024-03-14,1.0
227,GHCND:USW00013896,"MUSCLE SHOALS AIRPORT, AL US",34.74388,-87.59971,165.8,METERS,1940-01-01,2024-03-13,1.0
228,GHCND:USW00023801,"TROY 2 W, AL US",31.7901,-86.0004,143.9,METERS,2008-01-01,2024-03-13,1.0
229,GHCND:USW00023802,"THOMASVILLE 2 S, AL US",31.8814,-87.7367,106.7,METERS,2008-01-01,2024-03-13,1.0
230,GHCND:USW00053820,"EVERGREEN MIDDLETON FIELD, AL US",31.41912,-87.04844,79.1,METERS,1997-06-01,2024-03-13,1.0
