REPORT_RECEIVED_DATE	IYEAR	REPORT_NUMBER	SUPPLEMENTAL_NUMBER	REPORT_TYPE	OPERATOR_ID	NAME	OPERATOR_STREET_ADDRESS	OPERATOR_CITY_NAME	OPERATOR_STATE_ABBREVIATION	OPERATOR_POSTAL_CODE	LOCAL_DATETIME	TIME_ZONE	DAYLIGHT_SAVINGS_IND	LOCATION_LATITUDE	LOCATION_LONGITUDE	COMMODITY_RELEASED_TYPE	COMMODITY_SUBTYPE	COMMODITY_DETAILS	UNINTENTIONAL_RELEASE_BBLS	INTENTIONAL_RELEASE_BBLS	RECOVERED_BBLS	FATALITY_IND	NUM_EMP_FATALITIES	NUM_CONTR_FATALITIES	NUM_ER_FATALITIES	NUM_WORKER_FATALITIES	NUM_GP_FATALITIES	FATAL	INJURY_IND	NUM_EMP_INJURIES	NUM_CONTR_INJURIES	NUM_ER_INJURIES	NUM_WORKER_INJURIES	NUM_GP_INJURIES	INJURE	ACCIDENT_IDENTIFIER	ACCIDENT_DETAILS	OPERATOR_TYPE	INCIDENT_IDENTIFIED_DATETIME	ON_OFF_SHORE	COMMUNICATION_STATE_FED_IND	PARTY_INITIATED_COMMUNICATION	INITIAL_RESPONDER_COM_DATETIME	ON_SITE_DATETIME	NRC_RPT_DATETIME	NRC_RPT_NUM	ADDITIONAL_NRC_REPORT_NUMBERS	IGNITE_IND	IGNITE_DATETIME	HOW_EXTINGUISHED	HOW_EXTINGUISHED_OTHER_DETAIL	PRODUCT_CONSUMED_BY_FIRE_BBLS	EXPLODE_IND	OIL_SPILL_RESP_PLAN_IND	OSRO_MOBILIZED_IND	OSRO_OPERATOR_NOTIFIED_DT	OSRO_ARRIVED_ON_SITE_DT	NUM_PUB_EVACUATED	ONSHORE_STATE_ABBREVIATION	ONSHORE_CITY_NAME	ONSHORE_COUNTY_NAME	FEDERAL	LOCATION_TYPE	CROSSING	BRIDGE_CROSSING_IND	BRIDGE_TYPE	RAILROAD_CROSSING_IND	RAILROAD_TYPE	ROAD_CROSSING_IND	ROAD_TYPE	WATER_CROSSING_IND	WATER_TYPE	WATER_NAME	WATER_DEPTH	WATER_SUBTYPE	YEAR_RECENT_ENG_EVALUATION	OFF_ACCIDENT_ORIGIN	OFFSHORE_STATE_ABBREVIATION	OFF_INSTATE_AREA	OFF_INSTATE_BLOCK	OFFSHORE_COUNTY_NAME	OCS_TYPE	OFF_OCS_AREA	OFF_OCS_BLOCK	ITEM_INVOLVED	PIPE_TYPE	JOINT_SUBTYPE	ITEM_INVOLVED_DETAILS	PIPE_DIAMETER	MATERIAL_INVOLVED	MATERIAL_DETAILS	PERCENT_PIPE_SMYS	CLASSIFICATION_PIPELINE_SYSTEM	WILDLIFE_IMPACT_IND	FISH_AQUATIC_IMPACT_IND	BIRDS_IMPACT_IND	TERRESTRIAL_IMPACT_IND	SOIL_CONTAMINATION	LONG_TERM_ASSESSMENT	REMEDIATION_IND	SURFACE_WATER_REMED_IND	GROUNDWATER_REMED_IND	SOIL_REMED_IND	VEGETATION_REMED_IND	WILDLIFE_REMED_IND	WATER_CONTAM_IND	OCEAN_SEAWATER_IND	SURFACE_CONTAM_IND	GROUNDWATER_CONTAM_IND	DRINKING_WATER_CONTAM_IND	PRIVATE_WELL_CONTAM_IND	PUBLIC_WATER_CONTAM_IND	AMOUNT_RELEASED_BBLS	REL_WATER_NAME	EST_COST_OPER_PAID	EST_COST_GAS_RELEASED	EST_COST_PROP_DAMAGE	EST_COST_EMERGENCY	EST_COST_ENVIRONMENTAL	EST_COST_OTHER	EST_COST_OTHER_DETAILS	PRPTY	NUM_PERSONS_HOSP_NOT_OVNGHT	NUM_INJURED_TREATED_BY_EMT	NUM_RESIDENT_BUILDING_AFFCTD	NUM_BUSINESS_BUILDING_AFFCTD	CAUSE	CAUSE_DETAILS	PREPARER_NAME	PREPARER_TITLE	PREPARER_EMAIL	PREPARER_TELEPHONE	PREPARER_FAX	LOCAL_CONTACT_NAME	LOCAL_CONTACT_EMAIL	LOCAL_CONTACT_TELEPHONE	NARRATIVE
2/27/2024	2024	20240015	39256	ORIGINAL FINAL	39950	"DKL DELAWARE GATHERING, LLC"	12700 PARK CENTRAL DRIVE SUITE 700 	DALLAS	TX	75251	2/8/2024 4:50	MOUNTAIN	NO	32.31098	-103.6576	CRUDE OIL			0.35		0.35	NO						0	NO						0	NOTIFICATION FROM PUBLIC			2/8/2024 4:50	ONSHORE	NO			2/8/2024 8:00		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	EUNICE	LEA	YES	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			MECHANICAL SEAL		MATERIAL OTHER THAN CARBON STEEL	CARBIDE/RUBBER		REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	27	1240	500	0	0		1767	0	0	0	0	EQUIPMENT FAILURE	PUMP OR PUMP-RELATED EQUIPMENT	NATHANAEL FOLDS	REGULATORY COMPLIANCE COORDINATOR	nathanael.folds@deleklogistics.com	3256685887		ALONSO RODRIGUEZ	alonso.rodriguez@deleklogistics.com	8063363650	"ON FEBRUARY 8, 2024, AT 4:50 A.M., THE OPERATIONS CONTROL CENTER (OCC) WAS NOTIFIED OF A RELEASE AT THE CATNIP EVERDEEN LEASE AUTOMATIC CUSTODY TRANSFER (LACT) UNIT. APPROXIMATELY 15 GALLONS OF CRUDE OIL WERE RELEASED INTO CONTAINMENT FROM THE MECHANICAL SEAL ON THE CHARGE PUMP. THERE WERE NO INJURIES, AND THE SITE WAS CLEANED UP AND REPAIRED PROMPTLY."
2/19/2024	2024	20240009	39210	ORIGINAL	40759	"TIVOLI SERVICES, LLC"	2929 ALLEN PARKWAY SUITE 200	HOUSTON	TX	77019	2/7/2024 9:15	CENTRAL	YES	33.386609	-98.441602	CRUDE OIL			14		13	NO						0	NO						0	AIR PATROL		CONTRACTOR WORKING FOR THE OPERATOR	2/7/2024 9:35	ONSHORE	YES	OPERATOR	2/7/2024 12:45	2/7/2024 9:45		NRC NOTIFICATION NOT REQUIRED		NO						YES	NO			0	TX	LOVING	YOUNG	NO	PIPELINE RIGHT-OF-WAY	NO																					PIPE	PIPE BODY			8	CARBON STEEL		5.7	GRAVITY GATHERING	NO				YES	YES	NO						NO									0	1120	4000	2000	2000	0		9120	0	0	0	0	CORROSION FAILURE	EXTERNAL CORROSION	KEITH L DAWS	MAINTENANCE COORDINATOR	kdaws@tivolimidstream.com	9407815702					AIR PATROL SPOTTED POSSIBLE LEAK AND NOTIFIED FIELD PERSONNEL AT 9:15 ON 2/7/24. PIPELINE WAS SHUT DOWN AND FIELD PERSONNEL VERIFIED LEAK AT 9:45. LINE SEGMENT WAS ISOLATED AT 10:00. THE TEXAS RAILROAD COMMISSION WAS NOTIFIED AT 12:45 AND THE INCIDENT NUMBER WAS 3031. THE LINE WAS EXCAVATED AND AN EXTERNAL CORROSION PINHOLE WAS FOUND AT THE 4:00 POSITION ON THE PIPE. A PLIDCO CLAMP WAS INSTALLED AND AN ESTIMATED 13 BBLS WAS RECOVERD WITH VACCUM TRUCKS. CONTAMINATED VEGITATION WAS REMOVED AND THE SOIL WAS TILLED WITH ABSORBENT MATERIAL. THE TEXAS RAILROAD COMMISSION INSPECTED THE SITE ON 2/7/24. TIVOLI SERVICES SUBMITTED TEXAS RAILROAD COMMISSION FORMS H-8 AND INTERIM H-8 ON 2/8/24 AND HAVE NOT RECEIVED THE INSPECTION REPORT AT THIS TIME.
2/12/2024	2024	20240007	39257	SUPPLEMENTAL FINAL	32619	"HILAND CRUDE, LLC"	"1001 LOUISIANA ST, SUITE 1000 "	HOUSTON	TX	77002	1/30/2024 10:58	CENTRAL	NO	48.34359	-103.66346	CRUDE OIL			8.6		8.6	NO						0	NO						0	OTHER	NOTIFIED BY PRODUCER.		1/30/2024 11:00	ONSHORE	NO			1/30/2024 11:00		NRC NOTIFICATION NOT REQUIRED		NO						YES	NO			0	ND	WILLISTON	WILLIAMS	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			PIPELINE PUMP		CARBON STEEL		0.01	REPORTING-REGULATED GATHERING	NO				YES	NO	YES	YES		YES			YES		YES					2.5	N/A	0	660	3000	2000	25000	0		30660	0	0	0	0	EQUIPMENT FAILURE	PUMP OR PUMP-RELATED EQUIPMENT	BRANDON CASEBOLT	PIPELINE ENGINEER	brandon_casebolt@kindermorgan.com	2053257289		TYLER HENGEL	tyler_hengel@kindermorgan.com	701-269-4745	FAILURE OF AN ANSI 150 SUCTION VIBRATION DAMPENER RESULTED IN APPROXIMATELY 8.6 BARRELS OF CRUDE OIL RELEASE INTO EARTHEN CONTAINMENT. CLEANUP IS ONGOING.
2/20/2024	2024	20240010	39217	ORIGINAL FINAL	39649	"IRONWOOD MIDSTREAM ENERGY PARTNERS, LLC"	"15727 ANTHEM PARKWAY, SUITE 510 "	SAN ANTONIO	TX	78249	1/29/2024 16:40	CENTRAL	NO	28.552936	-99.45967	CRUDE OIL			4.43		3.57	NO						0	NO						0	OTHER	THIRD-PARTY OPERATOR		1/29/2024 17:00	ONSHORE	NO			1/29/2024 17:00		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	TX	NA	DIMMIT COUNTY	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			CHECK VALVE.		MATERIAL OTHER THAN CARBON STEEL	CHECK VALVE.		REPORTING-REGULATED GATHERING	NO				YES	NO	YES			YES			NO									0	300	1500	1500	1500	0		4800	0	0	0	0	EQUIPMENT FAILURE	NON-THREADED CONNECTION FAILURE	CHRIS WILLIAMS WILLIAMS	DIRECTOR OF EHS AND REGULATORY	chris.williams@ironwoodmidstream.com	18067596499		CHRIS WILLIAMS	chris.williams@ironwoodmidstream.com	18067596499	"ON JANUARY 29, 2024, AT APPROXIMATELY 4:40 PM, IRONWOOD OPERATIONS WAS NOTIFIED BY A THIRD-PARTY LEASE OPERATOR THAT THERE WAS A LEAK AT THE POCO MAS B TRANSFER SITE. IRONWOOD OPERATIONS SUPERVISOR IMMEDIATELY DISPATCHED THE CLOSER PIPELINE OPERATOR TO THE LOCATION TO INVESTIGATE THE REPORT. THE OPERATOR ARRIVED AT APPROXIMATELY 5 PM AND SEEN CRUDE OIL ON THE GROUND NEAR IRONWOOD'S ABOVE GROUND PIPING, AND HE IMMEDIATELY ENSURED THE SITE WAS ISOLATED AND MADE SAFE. IRONWOOD THEN DISPATCHED A VAC TRUCK AND REMEDIATION CREW TO THE SITE TO BEGIN CLEANING UP THE RELEASE. THE VAC TRUCK WAS ABLE TO RECOVER APPROXIMATELY 3.57 BARRELS OF CRUDE FROM THE SITE AND THE REMEDIATION CREW CLEANED THE ABOVE GROUND PIPING AND BEGAN CHEMICAL TREATMENT OF THE CONTAMINATED SOIL. THE APPARENT CAUSE WAS THERMAL EXPANSION CAUSING AN O-RING FAILURE ON A CHECK VALVE. THE INTERNAL INVESTIGATION FOUND THAT DOWNSTREAM PIPING OWNED BY THE PRODUCER HAD BEEN MODIFIED BY ADDING A PERMISSIVE VALVE. WHEN THE VALVE WAS CLOSED IS CREATED A THERMAL EXPANSION SITUATION ON A SMALL SECTION OF PIPELINE THAT WAS NOT PROTECTED BY A RELIEF VALVE DUE TO THE CHECK VALVE. PRIOR TO THE MODIFICATION THE PIPING DOWNSTREAM OF THE CHECK VALVE WAS OPEN ENDED INTO THE TOP OF A STORAGE TANK.   TO PREVENT A SIMILAR TYPE OF ACCIDENT IT WAS DETERMINED THAT THE CHECK VALVE WAS NOT NEEDED DUE TO THE PIPING CONFIGURATION AND THE CHECK VALVE WAS REMOVED. ALL OTHER SIMILAR SITES WERE EVALUATED AND DETERMINED THAT THE CHECK VALVES WERE NOT NEEDED AT ANY OF THE SITES DUE TO THE NON-IRONWOOD PIPING MODIFICATIONS. ALL OTHER SITES CHECK VALVES WERE PROMPTLY REMOVED."
2/23/2024	2024	20240014	39245	ORIGINAL FINAL	39950	"3 BEAR DELAWARE OPERATING-NM, LLC"	12700 PARK CENTRAL DRIVE SUITE 700 	DALLAS	TX	75251	1/26/2024 9:30	MOUNTAIN	NO	32.41466	-103.48707	CRUDE OIL			1.5		0.5	NO						0	NO						0	NOTIFICATION FROM PUBLIC			1/26/2024 9:30	ONSHORE	NO			1/26/2024 9:40		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	OIL CENTER	LEA	YES	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			1/2-INCH NIPPLE		CARBON STEEL		0.01	REPORTING-REGULATED GATHERING	NO				YES	NO	NO						NO									0	78	5	1250	0	0		1333	0	0	0	0	EQUIPMENT FAILURE	THREADED CONNECTION/COUPLING FAILURE	NATHANAEL FOLDS	REGULATORY COMPLIANCE COORDINATOR	nathanael.folds@deleklogistics.com	3256685887		ALONSO RODRIGUEZ	alonso.rodriguez@deleklogistics.com	8063363650	"ON JANUARY 26, 2024, AT 9:30 A.M., THE OPERATIONS CONTROL CENTER (OCC) WAS NOTIFIED OF A RELEASE AT THE REDSTAG LEASE AUTOMATIC CUSTODY TRANSFER (LACT) UNIT, AND THE OCC IMMEDIATELY DISABLED THE LACT. APPROXIMATELY 1.5 BARRELS OF CRUDE OIL WERE RELEASED FROM A 1/2-INCH NIPPLE DUE TO VIBRATION. THERE WERE NO INJURIES, AND THE SITE WAS CLEANED UP AND REPAIRED PROMPTLY."
2/23/2024	2024	20240013	39243	ORIGINAL FINAL	40498	PLAINS PIPELINE MIDCON LLC	"333 CLAY STREET, SUITE 1900 "	HOUSTON	TX	77002	1/25/2024 12:00	MOUNTAIN	NO	38.8613	-102.9037	CRUDE OIL			24.2		24.2	NO						0	NO						0	"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)"			1/25/2024 22:45	ONSHORE	YES	OPERATOR	2/6/2024 14:19	2/5/2024 15:00		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	CO	KIT CARSON	CHEYENNE	NO	PIPELINE RIGHT-OF-WAY	NO																					"JOINT, INCLUDING HEAT-AFFECTED ZONE"		PIPE GIRTH JOINT		6	CARBON STEEL		0.22	REPORTING-REGULATED GATHERING	NO				YES	NO	NO						NO									500	1693	9000	121500	0	0		132693	0	0	0	0	CORROSION FAILURE	INTERNAL CORROSION	NICOLAS A GONZALEZ	HSE REGULATORY COMPLIANCE SUPERVISOR	nicolas.gonzalez@plains.com	7136464376		NICOLAS A GONZALEZ	nicolas.gonzalez@plains.com	7136464376	"APPROXIMATELY 24.18 BARRELS OF CRUDE OIL WERE RELEASED FROM THE SORRENTO TO CHEYENNE WELLS 6INCH PIPELINE.  THE DATE AND TIME OF THE RELEASE (PART A Q4) IS INDICATIVE OF THE EARLIEST TIME THE RELEASE COULD HAVE STARTED BASED ON CONTROL CENTER INFORMATION.  THE CAUSE OF THE RELEASE IS ATTRIBUTED TO INTERNAL CORROSION.  TO PREVENT FUTURE INCIDENTS, A CLAMP WAS INSTALLED, AND THE FAILED SECTION WAS CUT-OUT AND REPLACED."
2/21/2024	2024	20240012	39231	ORIGINAL FINAL	11551	"DELEK LOGISTICS OPERATING, LLC."	12700 PARK CENTRAL DRIVE SUITE 700	DALLAS	TX	75251	1/24/2024 13:15	CENTRAL	YES	33.358115	-92.711818	CRUDE OIL			1		1	NO						0	NO						0	GROUND PATROL BY OPERATOR OR ITS CONTRACTOR		OPERATOR EMPLOYEE	1/24/2024 13:15	ONSHORE	NO			1/24/2024 13:15		NRC NOTIFICATION NOT REQUIRED		NO						YES	NO			0	AR	SMACKOVER	UNION	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			BACK PRESSURE CONTROL VALVE		CARBON STEEL		15	REPORTING-REGULATED GATHERING	NO				YES	NO	YES			YES			NO									0	74	500	4500	1000	0		6074	0	0	0	0	EQUIPMENT FAILURE	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT	TYLER CAMERON	SR. ENGINEERING TECHNICIAN	tyler.cameron2@deleklogistics.com	8703151393		TYLER CAMERON	tyler.cameron2@deleklogistics.com	8703151393	"ON 1/24/24 AT 13:15, A DELEK OPERATOR WAS ON SITE PERFORMING A STATION CHECK AND NOTICED OIL UNDER A METER SKID. THE OPERATOR CALLED THE CONTROL ROOM TO SHUT THE PUMP DOWN IMMEDIATELY AND CALLED EHS FOR ADDITIONAL RESOURCES TO START CLEAN UP ACTIVITIES. AFTER THE PUMP WAS SHUT DOWN, THE OPERATOR ISOLATED THE BACK PRESSURE VALVE THAT WAS LEAKING. THE CAUSE OF THE FAILURE WAS A DIAPHRAGM RUPTURE ON THE BACK PRESSURE CONTROL VALVE. THE DIAPHRAGM WAS REPLACED ON 1/24/24 AT 15:00 AND THE PUMP WAS RESTARTED AND THE FAILURE WAS RESOLVED.    MAINTENANCE AND ENVIRONMENTAL RESOURCES ARRIVED ON SITE AND BEGAN USING A VACUUM TRUCK TO SUCTION THE OIL ON TOP OF THE GROUND ON 1/24/24. THEY ALSO USED PADS AND BOOM TO ABSORB SOME OF THE REMAINING OIL ON THE GROUND. THEY USED A SKID STEER TO SCRAPE THE REMAINING CONTAMINATED SOIL AND STORED IT IN A ROLL OFF BOX. ON 1/26/24 AT 07:00, THEY BEGAN TO SPREAD NEW SAND FOR REMEDIATION AND REMOVED THE BOOM FROM THE SPILL SITE. CLEAN UP AND REMEDIATION ACTIVITIES WERE COMPLETED ON 1/26/24 AT 1200."
2/16/2024	2024	20240008	39199	ORIGINAL FINAL	30829	ENTERPRISE CRUDE PIPELINE LLC	1100 LOUISIANA STREET 	HOUSTON	TX	77002	1/22/2024 10:30	CENTRAL	NO	32.345944	-103.5505	CRUDE OIL			0.63		0.63	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	1/22/2024 10:30	ONSHORE	NO			1/22/2024 10:30		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	N/A	LEA	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			PUMP SEAL		CARBON STEEL		0.23	REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	50	3500	3500	0	0		7050	0	0	0	0	EQUIPMENT FAILURE	PUMP OR PUMP-RELATED EQUIPMENT	YAROSLAV BIL	PIPELINE COMPLIANCE ENGINEER	ybil@eprod.com	713-381-5650		YAROSLAV BIL	ybil@eprod.com	713-381-5650	"ON 1/22/2024 AT 10:30 AM CST ENTERPRISE PIPELINE TECHNICIAN, LOCATED A CRUDE RELEASE, AT SERPENTINE 35 STATION; APPROXIMATELY 20 GALLONS OF CRUDE OIL SPILLED ON THE GROUND. THE CAUSE HAS BEEN DETERMINED TO BE A FAILED PUMP SEAL. THE SEAL WAS REPLACED, AND THE SYSTEM WAS RETURNED INTO SERVICE. THE LEAK HAS BEEN CONTAINED AND REMEDIATED."
2/20/2024	2024	20240011	39220	ORIGINAL FINAL	31888	CENTURION PIPELINE L.P.	1300 MAIN STREET 	HOUSTON	TX	77002	1/21/2024 17:30	CENTRAL	NO	32.16482	-103.9577	CRUDE OIL			0.5		0.5	NO						0	NO						0	OTHER	THIRD PARTY OPERATOR		1/21/2024 17:30	ONSHORE	NO			1/21/2024 19:00		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	NM	LOVING	EDDY	YES	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			O-RING GASKET		MATERIAL OTHER THAN CARBON STEEL	VITON		REPORTING-REGULATED GATHERING	NO				YES	NO	YES			YES			NO									0	35	0	0	2399	0		2434	0	0	0	0	EQUIPMENT FAILURE	NON-THREADED CONNECTION FAILURE	TODD NARDOZZI	DIRECTOR - DOT COMPLIANCE	todd.nardozzi@energytransfer.com	713-989-7126					"ON JANUARY 21, 2024 AT APPROXIMATELY 17:30, A THIRD PARTY OPERATOR DISCOVERED OIL ON THE GROUND AND NOTIFIED THE CONTROL CENTER TO INHIBIT THE PUMP AND LACT, AND NOTIFY THE PRODUCER. ONCE ON SITE, OPERATIONS PERSONNEL DISCOVERED THE PIG LAUNCHER WAS LEFT ISOLATED AND DRY. THE PRODUCT PRESSURED UP THE LAUNCHER DUE TO THERMAL EXPANSION AND CAUSED THE O-RING ON THE LAUNCHER DOOR TO FAIL. THE BARREL IS NOT EQUIPPED WITH THERMAL RELIEF DEVICE WHICH CAUSED CRUDE OIL TO RELEASE.     APPROXIMATELY 22 GALLONS (.5 BBL) OF CRUDE OIL WAS RELEASED. CLEAN-UP CONTRACTORS REMOVED PRODUCT AND CONTAMINATED SOIL.    OPERATIONS REPLACED THE O-RING ON THE DOOR AND LEFT THE BARREL WET UNTIL THE THERMAL RELIEF DEVICE CAN BE INSTALLED. WILL NOT RUN THE TRAPS DRY UNTIL THERMAL RELIEF DEVICE CAN BE INSTALLED.    TO PREVENTATIVE REOCCURRENCE, THE O-RING WILL BE REPLACED AFTER EACH PIG RUN AND A THERMAL RELIEF DEVICE WILL BE INSTALLED ON THE LAUNCHER."
2/8/2024	2024	20240006	39169	ORIGINAL FINAL	32619	"HILAND CRUDE, LLC"	"1001 LOUISIANA ST, SUITE 1000 "	HOUSTON	TX	77002	1/14/2024 11:33	CENTRAL	NO	47.96263	-103.32346	CRUDE OIL			0.2		0.2	NO						0	NO						0	"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS"		OPERATOR EMPLOYEE	1/14/2024 11:33	ONSHORE	NO			1/14/2024 11:33		NRC NOTIFICATION NOT REQUIRED		NO						NO	NO			0	ND	WATFORD CITY	MCKENZIE	NO	TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY	NO																					OTHER			PUMP CUPS		MATERIAL OTHER THAN CARBON STEEL	KEVLAR		REPORTING-REGULATED GATHERING	NO				NO	NO	NO						NO									0	0	150	650	0	0		800	0	0	0	0	EQUIPMENT FAILURE	PUMP OR PUMP-RELATED EQUIPMENT	BALARK CHETHAN	PIPELINE ENGINEER II	balark_chethan@kindermorgan.com	7134205629					"ON 1/14/2023, AT 11:33 AM, A HILAND CRUDE, LLC (HC) EMPLOYEE ARRIVED ONSITE TO PERFORM GAUGING DUTIES. UPON ARRIVAL ONSITE, THE HC EMPLOYEE DISCOVERED 7.5 GALLONS OF CRUDE OIL HAD BEEN RELEASED INTO LINE CONTAINMENT. ONCE NOTICED, AN EMERGENCY RESPONSE LINE (ERL) CALL WAS INITIATED AND DURING THE CALL, THE EVENT WAS DEEMED REPORTABLE. UPON FURTHER INVESTIGATION, IT WAS DISCOVERED THAT THE RELEASE WAS DUE TO A PUMP CUP FAILURE. THE PUMP CUPS WERE SUBSEQUENTLY IMMEDIATELY REPLACED AND THE 7.5 GALLONS OF CRUDE OIL RELEASED WERE RECOVERED. ONCE REPAIRS AND RECOVERY WERE COMPLETED, THE PUMP WAS RETURNED TO SERVICE, WHICH OCCURRED LATER THE SAME DAY"
