REPORT_NUMBER,INTERNAL_EXTERNAL,VISUAL_EXAM_RESULTS,GALVANIC_CORROSION_IND,ATMOSPHERE_CORROSION_IND,STRAY_CURRENT_CORROSION_IND,MICROBIOLOGICAL_CORROSION_IND,SELECTIVE_SEAM_CORROSION_IND,OTHER_CORROSION_IND,CORROSION_TYPE_DETAILS,UNDERGROUND_LOCATION,UNDER_CATHODIC_PROTECTION_IND,CATHODIC_SURVEY_TYPE,CP_ANNUAL_SURVEY_IND,CLOSE_INTERVAL_SURVEY_IND,EXTERNALLY_COATED,PRIOR_DAMAGE,CORROSION_LOCATION_DETAILS,CORROSION_INHIBITORS,CORROSION_LINING,CORROSION_COUPONS,EARTH_SUBTYPE,HEAVY_RAINS_SUBTYPE,LIGHTNING_SUBTYPE,TEMPERATURE_SUBTYPE,ROOT_CAUSE_CATEGORY,ROOT_CAUSE_TYPE,OUTSIDE_FORCE_TYPE,OPERATION_TYPE,CATEGORY_TYPE,OPERATOR_QUALIFICATION_IND
20230010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
