,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
0,United States,309330219,311591917.0,313914040.0,316128839.0,318857056.0,321418820.0,323127513.0,325719178.0,327167434.0,328239523.0,329484123.0,331893745,333287557,334914895
1,Northeast Region,55366108,,,,,,,,,,,57159838,57040406,56983517
2,Midwest Region,66976458,,,,,,,,,,,68841444,68787595,68909283
3,South Region,114857529,,,,,,,,,,,127225329,128716192,130125290
4,West Region,72130124,,,,,,,,,,,78667134,78743364,78896805
5,Connecticut,3575498,3580709.0,3590347.0,3596080.0,3596677.0,3590886.0,3576452.0,3588184.0,3572665.0,3565287.0,3557006.0,3605597,3626205,3617176
6,Maine,1327379,1328188.0,1329192.0,1328302.0,1330089.0,1329328.0,1331479.0,1335907.0,1338404.0,1344212.0,1350141.0,1372247,1385340,1395722
7,Massachusetts,6555466,6587536.0,6646144.0,6692824.0,6745408.0,6794422.0,6811779.0,6859819.0,6902149.0,6892503.0,6893574.0,6984723,6981974,7001399
8,New Hampshire,1316807,1318194.0,1320718.0,1323459.0,1326813.0,1330608.0,1334795.0,1342795.0,1356458.0,1359711.0,1366275.0,1388992,1395231,1402054
9,Rhode Island,1052528,1051302.0,1050292.0,1051511.0,1055173.0,1056298.0,1056426.0,1059639.0,1057315.0,1059361.0,1057125.0,1095610,1093734,1095962
10,Vermont,625909,626431.0,626011.0,626630.0,626562.0,626042.0,624594.0,623657.0,626299.0,623989.0,623347.0,645570,647064,647464
11,New Jersey,8799593,8821155.0,8864590.0,8899339.0,8938175.0,8958013.0,8944469.0,9005644.0,8908520.0,8882190.0,8882371.0,9267130,9261699,9290841
12,New York,19395206,19465197.0,19570261.0,19651127.0,19746227.0,19795791.0,19745289.0,19849399.0,19542209.0,19453561.0,19336776.0,19835913,19677151,19571216
13,Pennsylvania,12717722,12742886.0,12763536.0,12773801.0,12787209.0,12802503.0,12784227.0,12805537.0,12807060.0,12801989.0,12783254.0,12964056,12972008,12961683
14,Illinois,12841980,12869257.0,12875255.0,12882135.0,12880580.0,12859995.0,12801539.0,12802023.0,12741080.0,12671821.0,12587530.0,12671469,12582032,12549689
15,Indiana,6490622,6516922.0,6537334.0,6570902.0,6596855.0,6619680.0,6633053.0,6666818.0,6691878.0,6732219.0,6754953.0,6805985,6833037,6862199
16,Michigan,9877143,9876187.0,9883360.0,9895622.0,9909877.0,9922576.0,9928300.0,9962311.0,9995915.0,9986857.0,9966555.0,10050811,10034113,10037261
17,Ohio,11537968,11544951.0,11544225.0,11570808.0,11594163.0,11613423.0,11614373.0,11658609.0,11689442.0,11689100.0,11693217.0,11780017,11756058,11785935
18,Wisconsin,5691659,5711767.0,5726398.0,5742713.0,5757564.0,5771337.0,5778708.0,5795483.0,5813568.0,5822434.0,5832655.0,5895908,5892539,5910955
19,Iowa,3050202,3062309.0,3074186.0,3090416.0,3107126.0,3123899.0,3134693.0,3145711.0,3156145.0,3155070.0,3163561.0,3193079,3200517,3207004
20,Kansas,2859143,2871238.0,2885905.0,2893957.0,2904021.0,2911641.0,2907289.0,2913123.0,2911505.0,2913314.0,2913805.0,2934582,2937150,2940546
21,Minnesota,5310658,5344861.0,5379139.0,5420380.0,5457173.0,5489594.0,5519952.0,5576606.0,5611179.0,5639632.0,5657342.0,5707390,5717184,5737915
